,,,,,,Incorrect,Correct(ed),Fixed Error,Unable to Identify,Calculate OZ into lbs >,21.00,1.31,< lbs in % will appear here,CA Shipment Complete,In BC,Sent Eshp,Sent Rutherford,Val. Ent. Compl.,,,,,,,,$0.00,,,,,,,,,,,,,,
POA,Notes,Date Processed,Congsinee ID No.,Content Photo Link,Label Photo Link,Shipment ID,Consignee Name,Consignee Address1,Consignee Address2,Consignee City,Consignee Province,Consignee Postal Code,Product Number,Product Description,Quantity,Price,Total Price,Country of Origin,HS Code,Net Weight,Weight Unit,Number of Packages,Currency,Package ID,PARS No.,b2m_wlr_imp_code,Importer Name,Importer Address 1',Importer Address 2,Importer City,Importer Province,Importer Postal Code,Importer Business No.,Vendor Name,Vendor Address1,Vendor Address2,Vendor City,Vendor State,Vendor Country,Packaging Unit
YES,,08/17/2019,23392,https://drive.google.com/open?id=1O2Wwx6PmBOnnm-s8h6hyGQ7xYf8SbHJb,https://drive.google.com/open?id=1Cipx5S1e6TEME3gblQRLRVQi0xrayKzX,23392_081719_27,AG Decor,100 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,"RET TO CAN - Wallpaper
",1,$5.00,$5.00,CN,9814,0.75,LBR,1,USD,,,,AG Decor,98 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
YES,,08/17/2019,23392,https://drive.google.com/open?id=1Q7F3kPjKFqPzRzJcs58zTZUPc5kQgBTG,https://drive.google.com/open?id=1yFEYUCgCYzR09kVQx_fkGpM1rbDg51x2,23392_081719_28,AG Decor,101 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,"RET TO CAN - Wallpaper
",1,$5.00,$5.00,CN,9814,1,LBR,1,USD,,,,AG Decor,98 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
YES,,08/17/2019,23392,https://drive.google.com/open?id=16_5KS5r4LY3XS3PD7M-ePiI0DvcRTmjF,https://drive.google.com/open?id=1VDEDM8PDa7VqNvnIcWatrhEcDICKSrqq,23392_081719_29,AG Decor,102 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,"RET TO CAN - Wallpaper
",1,$5.00,$5.00,CN,9814,0.63,LBR,1,USD,,,,AG Decor,98 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
YES,,08/17/2019,23392,https://drive.google.com/open?id=1ia93tGJsMvRLmVV6GcvSWt-2nIAcC4ZI,https://drive.google.com/open?id=1_SMq0qGfyQTTpAom4FXJMdfnvm9H8U_t,23392_081719_30,AG Decor,103 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,"RET TO CAN - Wallpaper
",5,$5.00,$5.00,CN,9814,10,LBR,1,USD,,,,AG Decor,98 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
YES,,08/13/2019,23392,https://drive.google.com/open?id=1EDFK3z-cCZrf5SiOsMhIAUwgDb0ILZxt,https://drive.google.com/open?id=1oP9bM650CIsQBo1vTn3xxEa3fnbv4WbD,23392_081319_10,AG Decor,98 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,"RET TO CAN - Wallpaper
",1,$5.00,$5.00,CN,9814,1,LBR,1,USD,,,,AG Decor,98 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,,08/09/19,40624,https://drive.google.com/open?id=1Gm-uA8zBTANh4VJFAvl53J2J0pKm4TCe,https://drive.google.com/open?id=1lBJ5uxvQnynf49I_3ZIP8bcQXoGJaUqn,40624_080919_21,Baby I'm Yours,4233 Kane Cresc,,Burlington,ON,L7M 5C1,,RET TO CAN - Toy,1,$26.49,26.49,CN,9814,2,LBR,,USD,,,,Baby I'm Yours,4233 Kane Cresc,,Burlington,ON,L7M 5C1,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YES,,08/17/19,999,https://drive.google.com/open?id=1uMwulMqK6yEmw-oDsAv6IKxqDL8RMnPa,https://drive.google.com/open?id=1wzkyUsd_d17ge37Wr2xCXkcWASiAX4U5,999_081719_49,Bill Hu/MaxMost.com,1 Waringstown Drive,,Toronto,ON,M1R 4H2,,RET TO CAN - LTE Router with Cable Wire,1,$0.85,$0.85,CN,9814,3,LBR,1,USD,,,,Bill Hu/MaxMost.com,1 Waringstown Drive,,Toronto,ON,M1R 4H2,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
YES,,08/17/19,999,https://drive.google.com/open?id=1vBzXYFS5ktQEgFcmG-apL7cDHYLD-9ky,https://drive.google.com/open?id=1A4hYcQ_wi8o_snp0L44ujuLIw6022BFg,999_081719_50,Bill Hu/MaxMost.com,1 Waringstown Drive,,Toronto,ON,M1R 4H2,,RET TO CAN - LTE Router with Cable Wire,1,$69.98,$69.98,CN,9814,3,LBR,1,USD,,,,Bill Hu/MaxMost.com,1 Waringstown Drive,,Toronto,ON,M1R 4H2,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
YES,,08/17/19,999,https://drive.google.com/open?id=1f-0okqSrHU-jz6RUsPE6ubc4iwTOhJgW,https://drive.google.com/open?id=1ZmkcKyjQLYtJrewocSvqCBJ04mQY35ir,999_081719_51,Bill Hu/MaxMost.com,1 Waringstown Drive,,Toronto,ON,M1R 4H2,,RET TO CAN - Adapter,1,$19.99,$19.99,CN,9814,0.13,LBR,1,USD,,,,Bill Hu/MaxMost.com,1 Waringstown Drive,,Toronto,ON,M1R 4H2,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
YES,,08/17/19,999,https://drive.google.com/open?id=1O_PPrSYzS4Fc00cx8GKndLdT4ZkVFeyP,https://drive.google.com/open?id=1-FPPvs97ShG63s3nWRExqj6l43RpVuvW,999_081719_52,Bill Hu/MaxMost.com,1 Waringstown Drive,,Toronto,ON,M1R 4H2,,RET TO CAN - Connector,1,$13.98,$13.98,CN,9814,0.13,LBR,1,USD,,,,Bill Hu/MaxMost.com,1 Waringstown Drive,,Toronto,ON,M1R 4H2,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,,08/13/19,41515,https://drive.google.com/open?id=1aSoacITouf7Gt4DqJ9FZFOVhvZluGKlM,https://drive.google.com/open?id=19KZxi8z7QrdtWBMg9Nxk-mDwNwOOLmXI,41515_081319_38,Classic Ads,5950 Bathurst St,1111,North York,ON,M2R 1Y9,,RET TO CAN - Wheel/ Trading Cards,1,$2.79,2.79,CN,9814,0.25,LBR,1,USD,,,,Classic Ads,5950 Bathurst St,1111,North York,ON,M2R 1Y9,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
